champion_name,version,champion_id,title,blurb,tags,partype,hp,hp_per_level,mp,mp_per_level,movement_speed,armor,armor_per_level,spellblock,spellblock_per_level,attack_range,hp_regen,hp_regen_per_level,mp_regen,mp_regen_per_level,crit,crit_per_level,attack_damage,attack_damager_per_level,attack_speed_per_level,attack_speed,attack,defense,magic,difficulty
Aatrox,10.23.1,266,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...","['Fighter', 'Tank']",Blood Well,580.0,90.0,0.0,0.0,345.0,38.0,3.25,32.1,1.25,175.0,3.0,1.0,0.0,0.0,0.0,0.0,60.0,5.0,2.5,0.651,8.0,4.0,3.0,4.0
Ahri,10.23.1,103,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...","['Mage', 'Assassin']",Mana,526.0,92.0,418.0,25.0,330.0,20.88,3.5,30.0,0.5,550.0,5.5,0.6,8.0,0.8,0.0,0.0,53.04,3.0,2.0,0.668,3.0,4.0,8.0,5.0
Akali,10.23.1,84,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",['Assassin'],Energy,575.0,95.0,200.0,0.0,345.0,23.0,3.5,37.0,1.25,125.0,8.0,0.5,50.0,0.0,0.0,0.0,62.4,3.3,3.2,0.625,5.0,3.0,8.0,7.0
Alistar,10.23.1,12,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...","['Tank', 'Support']",Mana,600.0,106.0,350.0,40.0,330.0,44.0,3.5,32.1,1.25,125.0,8.5,0.85,8.5,0.8,0.0,0.0,62.0,3.75,2.125,0.625,6.0,9.0,5.0,7.0
Amumu,10.23.1,32,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...","['Tank', 'Mage']",Mana,615.0,80.0,285.0,60.0,335.0,30.0,3.8,32.1,1.25,125.0,9.0,0.85,7.382,0.525,0.0,0.0,53.38,3.8,2.18,0.736,2.0,6.0,8.0,3.0
Anivia,10.23.1,34,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...","['Mage', 'Support']",Mana,480.0,82.0,495.0,45.0,325.0,21.22,4.0,30.0,0.5,600.0,5.5,0.55,8.0,0.8,0.0,0.0,51.376,3.2,1.68,0.625,1.0,4.0,10.0,10.0
Annie,10.23.1,1,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",['Mage'],Mana,524.0,88.0,418.0,25.0,335.0,19.22,4.0,30.0,0.5,625.0,5.5,0.55,8.0,0.8,0.0,0.0,50.41,2.625,1.36,0.579,2.0,3.0,10.0,6.0
Aphelios,10.23.1,523,the Weapon of the Faithful,"Emerging from moonlight's shadow with weapons drawn, Aphelios kills the enemies of his faith in brooding silence—speaking only through the certainty of his aim, and the firing of each gun. Though fueled by a poison that renders him mute, he is guided by...",['Marksman'],Mana,530.0,88.0,348.0,42.0,325.0,28.0,3.0,26.0,0.5,550.0,3.25,0.55,6.5,0.4,0.0,0.0,57.0,2.4,2.1,0.64,6.0,2.0,1.0,10.0
Ashe,10.23.1,22,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...","['Marksman', 'Support']",Mana,570.0,87.0,280.0,32.0,325.0,26.0,3.4,30.0,0.5,600.0,3.5,0.55,6.972,0.4,0.0,0.0,59.0,2.96,3.33,0.658,7.0,3.0,2.0,4.0
AurelionSol,10.23.1,136,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",['Mage'],Mana,575.0,92.0,350.0,50.0,325.0,19.0,3.6,30.0,0.5,550.0,7.0,0.6,6.0,0.8,0.0,0.0,57.0,3.2,1.36,0.625,2.0,3.0,8.0,7.0
Azir,10.23.1,268,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...","['Mage', 'Marksman']",Mana,552.0,92.0,480.0,21.0,335.0,19.04,3.0,30.0,0.5,525.0,7.0,0.75,8.0,0.8,0.0,0.0,52.0,2.8,3.0,0.625,6.0,3.0,8.0,9.0
Bard,10.23.1,432,the Wandering Caretaker,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...","['Support', 'Mage']",Mana,560.0,89.0,350.0,50.0,330.0,34.0,4.0,30.0,0.5,500.0,5.5,0.55,6.0,0.45,0.0,0.0,52.0,3.0,2.0,0.625,4.0,4.0,5.0,9.0
Blitzcrank,10.23.1,53,the Great Steam Golem,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...","['Tank', 'Fighter']",Mana,582.6,95.0,267.2,40.0,325.0,37.0,3.5,32.1,1.25,125.0,8.5,0.75,8.5,0.8,0.0,0.0,61.54,3.5,1.13,0.625,4.0,8.0,5.0,4.0
Brand,10.23.1,63,the Burning Vengeance,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",['Mage'],Mana,519.68,88.0,469.0,21.0,340.0,21.88,3.5,30.0,0.5,550.0,5.5,0.55,10.665,0.6,0.0,0.0,57.04,3.0,1.36,0.625,2.0,2.0,9.0,4.0
Braum,10.23.1,201,the Heart of the Freljord,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...","['Support', 'Tank']",Mana,540.0,98.0,310.6,45.0,335.0,47.0,4.0,32.1,1.25,125.0,8.5,1.0,6.0,0.8,0.0,0.0,55.376,3.2,3.5,0.644,3.0,9.0,4.0,3.0
Caitlyn,10.23.1,51,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...",['Marksman'],Mana,510.0,93.0,313.7,35.0,325.0,28.0,3.5,30.0,0.5,650.0,3.5,0.55,7.4,0.55,0.0,0.0,62.0,2.88,3.5,0.681,8.0,2.0,2.0,6.0
Camille,10.23.1,164,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...","['Fighter', 'Tank']",Mana,575.6,85.0,338.8,52.0,340.0,35.0,3.8,32.1,1.25,125.0,8.5,0.8,8.15,0.75,0.0,0.0,68.0,3.5,2.5,0.644,8.0,6.0,3.0,4.0
Cassiopeia,10.23.1,69,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",['Mage'],Mana,560.0,90.0,350.0,60.0,328.0,18.0,3.5,32.0,0.5,550.0,5.5,0.5,8.0,0.8,0.0,0.0,53.0,3.0,1.5,0.647,2.0,3.0,9.0,10.0
Chogath,10.23.1,31,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...","['Tank', 'Mage']",Mana,574.4,80.0,270.0,60.0,345.0,38.0,3.5,32.1,1.25,125.0,9.0,0.85,7.2,0.45,0.0,0.0,69.0,4.2,1.44,0.625,3.0,7.0,7.0,5.0
